RecordID,ClusterID,Canonical_Name
a_10496,0,gharargah ghaem
a_11792,0,gharargah ghaem
a_15117,1,nitc sharjah
a_15118,1,nitc sharjah
a_11619,2,petrochemical commercial company international limited
a_11622,2,petrochemical commercial company international limited
a_13115,3,sadra
a_26564,3,sadra
a_13128,4,new ahmady ltd kandahar
a_13129,4,new ahmady ltd kandahar
a_15885,5,krivoruchko alexei
a_31124,5,krivoruchko alexei
a_16475,6,ansar al-shariah
a_16477,6,ansar al-shariah
a_16832,7,ooo stroytransgaz
a_16834,7,ooo stroytransgaz
a_23508,8,kim song
a_27212,8,kim song
a_19789,9,state security department prisons bureau
a_20129,9,state security department prisons bureau
a_20288,10,sovfrakht
a_20292,10,sovfrakht
a_21207,11,qasiyun
a_29140,11,qasiyun
a_24678,12,seymeh
a_24679,12,seymeh
a_25396,13,irisl
a_25431,13,irisl
a_34679,14,obshchestvo s ogranichennoi otvetstvennostyu tekhnosoft
a_48989,14,obshchestvo s ogranichennoi otvetstvennostyu tekhnosoft
a_26817,15,pgpic
a_26844,15,pgpic
a_26988,16,group grand limited general trading
a_26996,16,group grand limited general trading
a_34764,17,tsifrovye tekhnologii
a_36423,17,tsifrovye tekhnologii
a_35878,18,sc rawenstvo-service
a_35883,18,sc rawenstvo-service
a_36050,19,tasfiye halinde alan enerji uretim sanayi ve ticaret limited sirketi
a_36075,19,tasfiye halinde alan enerji uretim sanayi ve ticaret limited sirketi
a_36365,20,llc vladeks kholding
a_36366,20,llc vladeks kholding
a_37817,21,lukin sergei anatolevich
a_48852,21,lukin sergei anatolevich
a_40143,22,vargas jorge
a_6865,22,vargas jorge
a_41964,23,jsc proton
a_41976,23,jsc proton
a_45379,24,hanhong medicine technology hubei co limited
a_45393,24,hanhong medicine technology hubei co limited
a_45468,25,suntac group
a_45791,25,suntac group
a_51143,26,aktsionernoe obshchestvo 6 arsenal
a_51145,26,aktsionernoe obshchestvo 6 arsenal
a_46649,27,ao promtekh dubna
a_46688,27,ao promtekh dubna
a_49276,28,bespilotnye sistemy roboavia
a_49352,28,bespilotnye sistemy roboavia
a_7637,29,nusrat al-aqsa al-sharif
a_7638,29,nusrat al-aqsa al-sharif
a_7639,29,nusrat al-aqsa al-sharif
a_7640,29,nusrat al-aqsa al-sharif
a_7641,29,nusrat al-aqsa al-sharif
a_7642,29,nusrat al-aqsa al-sharif
a_7643,29,nusrat al-aqsa al-sharif
a_7644,29,nusrat al-aqsa al-sharif
a_7645,29,nusrat al-aqsa al-sharif
a_7199,30,vezir
a_8107,30,vezir
a_8109,30,vezir
a_8110,30,vezir
a_37504,31,llc algoritm
a_15971,32,cisneros jose misal
a_31951,33,khanfoura alaa
a_11800,34,loya plancarte dionisio
a_50383,35,llc sds treid
a_46622,36,scf management services dubai ltd
a_49360,37,levine nikolai
a_36882,38,vladimirov nikolai nikolayevich
a_15414,39,abdallah abu
a_7200,40,al-aqsa martyrs battalion
a_37734,41,khavchenko dmytro vasylovych
a_18629,42,layth umm
a_16960,43,beseda sergei orestovoch
a_50397,44,iteko kran
a_48184,45,ayyash mustafa
a_46071,46,otkrytoe aktsionernoe obshchestvo amkodor upravlyayushchaya kompaniya kholdinga
a_15573,47,mozafari-niya reza
a_34137,48,geovetty luisa de fatima
a_18640,49,aseldarov rustam
a_40016,50,osanloo mohammad taqi
a_18051,51,hussein atris
a_10728,52,al-hishan akram turki
a_7671,53,crp
a_43235,54,levitin igor evgenyevich
a_8739,55,impecua sa
a_17017,56,bm bank ao
a_32797,57,abdulkadir abdulkadir mohamed
a_15420,58,saeed tahil
a_12220,59,hunjin trading co
a_15967,60,vaziri ahmad
a_49221,61,ao moven nn
a_33173,62,butkevich igor
a_16023,63,zarrin rafsanjan cement company
a_16538,64,sayyed al-hoseini akbar
a_19891,65,al-ghaysi nayif
a_19892,66,isis in yemen
a_50017,67,fgbu 27 tsnii minoborony rossii
a_26219,68,la vitalicia
a_11181,69,sanaye mokhaberat iran
a_26954,70,hazime hussein ali
a_36637,71,obshchestvo s ogranichennoi otvetstvennostyu bm proekt-ekologiya
a_35763,72,pyanov dmitrii vasilevich
a_10640,73,boutique patraca
a_11717,74,martinez cantabrana cesar alejandro
a_26367,75,petroleos de venezuela s a
a_36776,76,chernyshyov andrey vladimirovich
a_45953,77,ooo aeroskan
a_40396,78,al-khatuni abd-al-hamid salim ibrahim ismail
a_35860,79,mezhdunarodnye vertoletnye programmy ooo
a_40500,80,blatt mark
a_50552,81,amad optimizer engineering company
a_26603,82,smile property and travel ltd
a_42556,83,aghamiri seyed mohammad amin
a_30370,84,imani zia
a_40869,85,nauchno issledovatelski institut konstruksionnykh materialov na osnove grafita niigrafit ao
a_25677,86,tejarat bank
