RecordID,ClusterID,Canonical_Name
p_10009,0,al-ali hamid hamad hamid
p_17189,0,al-ali hamid hamad hamid
p_11311,1,aw-mohamed ahmed abdi
p_11746,1,aw-mohamed ahmed abdi
p_11743,2,al-turki hassan abdullah hersi
p_8264,2,al-turki hassan abdullah hersi
p_11744,3,aweys hassan dahir
p_7006,3,aweys hassan dahir
p_12211,4,kim yong chol
p_17614,4,kim yong chol
p_22996,4,kim yong chol
p_19531,5,kim song
p_23508,5,kim song
p_12556,6,safari mohammad javad
p_26579,6,safari mohammad javad
p_13127,7,mohammad haji baz
p_8867,7,mohammad haji baz
p_16084,8,kim chol sam
p_20604,8,kim chol sam
p_16688,9,ivanov sergei borisovich
p_36799,9,ivanov sergei borisovich
p_21042,10,zhang jian
p_52174,10,zhang jian
p_21745,11,kim min chol
p_23092,11,kim min chol
p_21908,12,ali ahmad iman
p_23924,12,ali ahmad iman
p_22113,13,ali muhammad
p_22151,13,ali muhammad
p_22145,14,ibrahim ali
p_22149,14,ibrahim ali
p_24810,15,soe khin maung
p_31772,15,soe khin maung
p_24083,16,miller alexey borisovich
p_35579,16,miller alexey borisovich
p_24143,17,ustinov vladimir vasilyevich
p_36397,17,ustinov vladimir vasilyevich
p_33256,18,kazemi mohammad
p_39656,18,kazemi mohammad
p_34598,19,ivanov sergei sergeevich
p_50663,19,ivanov sergei sergeevich
p_35169,20,pankov nikolay
p_35693,20,pankov nikolay
p_35654,21,kotkin sergey nikolayevich
p_36821,21,kotkin sergey nikolayevich
p_42599,22,bazghandi rouhollah
p_42741,22,bazghandi rouhollah
p_49204,23,anisimov andrei andreevich
p_52056,23,anisimov andrei andreevich
p_50245,24,khomenko igor vladimirovich
p_50837,24,khomenko igor vladimirovich
p_7775,25,tadic miroslav
p_7804,25,tadic miroslav
p_8188,26,al-tikriti hala saddam hussein
p_8193,26,al-tikriti hala saddam hussein
p_7849,27,al-tikriti rafi abd-al-latif tilfah
p_7857,27,al-tikriti rafi abd-al-latif tilfah
p_8348,28,atia hachim k
p_8349,28,atia hachim k
p_8350,28,atia hachim k
p_51969,29,gazprom spg portovaya limited liability company
p_36,30,aerocaribbean airlines
p_18268,31,eximbank of russia jsc
p_41157,32,glotreasure company limited
p_21543,33,asgharzadeh abdollah
p_31971,34,al-madani yusuf
p_36058,35,shestakov ilya vasilyevich
p_41031,36,zhoga artem vladimirovich
p_46057,37,gershanok lev valentinovich
p_45891,38,beijing jiahehengde technology company limited
p_49849,39,alpha shine marine services llc
p_29831,40,azizabadi reza mohammadi
p_47756,41,troshev andrej nikolaevich
p_48875,42,yakovlev pavel alexandrovich
p_51989,43,limited liability company neftgazissledovaniye
p_8117,44,kovac tomislav
p_35711,45,rodina victoria sergeyevna
p_50404,46,ershov aleksandr sergeyevich
p_47695,47,sirokko tekhnolodzhi
p_7167,48,fregoso amezquita maria antonieta
p_10035,49,nkunda laurent
p_49518,50,airrock solutions limited liability company
p_32332,51,jarquin jarquin jose jesus
p_48024,52,limited liability company atm grupp
p_52638,53,joint stock company scientific production enterprise rusbal
p_51184,54,gyntec carbon sdn bhd
p_35501,55,fadina oksana nikolayevna
p_23146,56,printing trade center gmbh
p_30544,57,irlu hasan
p_50820,58,limited liability company tm tech
p_41996,59,komponenta ao
p_26830,60,hengam petrochemical company
p_6905,61,husayn zayn al-abidin muhammad
p_15557,62,minai mohammad
p_23012,63,cha sung jun
p_35238,64,zyuganov gennady andreyevich
p_26384,65,ordoubadi nader talebzadeh
p_16034,66,ghadir investment company
p_39678,67,expanse ship management limited
p_49608,68,akari musa daud muhammad
p_26193,69,kovalev anatoliy sergeyevich
p_28916,70,shanghai saint logistics limited
p_50727,71,kamskii kabel
p_49814,72,aceites y lubricantes maye sa de cv
p_35624,73,ivenskikh irina valentinovna
p_42136,74,usm metalloinvest limited liability company
p_50141,75,joint stock company kt - unmanned systems
p_26164,76,payan meraz raul
p_20920,77,belik dmitry anatolievich
p_42018,78,dexias limited liability company
p_42336,79,murad bassem
p_48736,80,abdi asjerd zahra
p_40255,81,garkusha gennadiy oleksandrovych
p_50550,82,castaneda meza ivan atzayacatl
p_51613,83,gazpromneft marine bunker limited liability company
p_7471,84,hekmatyar gulbuddin
p_35529,85,saraliyev shamsail yunusovich
p_15923,86,chang wen-fu
p_27586,87,gupta rajesh
p_35327,88,avanfort ooo
p_25019,89,bank mellat
p_35799,90,srl skyline aviation
p_20962,91,durgham dureid
p_46912,92,salim mumin al-mawji mahmud
p_50405,93,limited liability company interregiongasconstruction
